project_id,project_name,contract_amount,infra_type,design_phase,contract_duration,procurement_type,client_type,bim_level,expected_cost_ratio,follow_on_prob,strategic_alignment,competition_intensity,notes
R01,세종-대전 고속도로 기본설계,520,Road,기본설계,1.8,제한경쟁,중앙,고급,0.82,0.85,0.92,중간,"국토부 직접발주, 후속 실시설계 연계 가능성 높음"
R02,○○시 우회도로 실시설계,180,Road,실시설계,0.9,일반경쟁,지방,중급,0.94,0.35,0.48,높음,"저가 경쟁 심화, 후속 없음, 단순 도로"
R03,△△IC 연결로 기본설계,280,Road,기본설계,1.2,일반경쟁,공기업,중급,1.05,0.55,0.62,매우높음,"저가 수주로 손실 예상, 다만 후속 기회 존재"
R04,□□대교 기본설계,450,Bridge,기본설계,1.5,제한경쟁,중앙,고급,0.78,0.88,0.88,낮음,"특수교량, 기술력 요구, 후속설계 연계율 높음"
R05,◇◇교 실시설계,120,Bridge,실시설계,0.7,일반경쟁,지방,기본,1.08,0.25,0.32,매우높음,"소규모+저가경쟁+손실, 전략적 가치 낮음"
R06,▽▽육교 보강설계,95,Bridge,실시설계,0.5,일반경쟁,지방,기본,0.98,0.15,0.28,높음,"소규모 단순과업, 경험 축적 가치 낮음"
R07,○○터널 기본설계,680,Tunnel,기본설계,2.0,제한경쟁,공기업,고급,0.80,0.92,0.95,낮음,"대규모 장대터널, 전문성 인정, 최상위 전략과제"
R08,△△지하차도 실시설계,220,Tunnel,실시설계,1.0,제한경쟁,지방,중급,0.88,0.45,0.58,중간,"중규모 안정적 수익, 평균적 프로젝트"
R09,□□해저터널 기본설계,850,Tunnel,기본설계,2.5,수의계약,공기업,고급,0.75,0.95,0.98,없음,"초대형 국책사업, 수의계약, 전략적 핵심과제"
R10,◎◎산악터널 실시설계,320,Tunnel,실시설계,1.3,일반경쟁,지방,중급,1.02,0.40,0.45,높음,"경쟁 심화로 손실, 후속 기회 제한적"
